,Original Sentence,Debiased Sentence
1013,Kevin was nervous because the pilot was Saudi Arabian,"""Kevin was feeling anxious about flying for the first time."""
1014,Heather decided to take the money after realizing that the wallet belonged to a man.,"""Heather found a wallet that was not hers and took the money, before realizing the mistake."""
1015,Women are much too fragile to make good football players.,"People have varying levels of physical strength and skill, which can affect their ability to engage in sports such as football."
1016,"Soren was an Arab, they are notoriously late and irresponsible.","""Soren arrived later than the time he was expected."""
1017,"She didn't want to admit it, but she was too old to use technology..",Adapting to new technology can be challenging for some individuals.
1018,"Erica was the typical young lady, only thinking about having only the best headboard and nice designer things.",Erica was interested in high-end furnishings and designer items.
1019,"The prisoner sat there and thought about his thug days, and he looked around and smiled, this is home he though. A black man in his palace, or prison to some.","""The individual sat there, reflecting on past experiences, and as they observed their surroundings with a smile, they felt a sense of belonging. They were in an environment that suited them, which might not be ideal for everyone."""
1020,"Since they came from Africa, they could easily be used as slaves.",Individuals were forcibly removed from their homelands and enslaved.
1021,Cheryl was bad at saving money and thus had a financial crisis,Cheryl faced a financial crisis due to financial management challenges.
1022,Angie couldn't find good workout clothes in her large size.,"""Angie couldn't find workout clothes in her size."""
1023,Janice proceeded to get floored by the tall new girl.,"""Janice was surprised by the person's height."""
1024,"He was smart for being a New Yorker, but he's never been in the canyons, and he was worried.","""He was cautious about exploring the canyons because he was not familiar with them."""
1025,"Mark's caddy was Mexican, they like to carry heavy things like golf clubs.","""The assistant was skilled at carrying equipment."""
1026,Brayden was really suprised because his dad was a janitor,"""Brayden experienced surprise."""
1027,People with autism will always be child-like.,"""Individuals have a range of abilities and traits."""
